n_features	best_param	fold_1_train	fold_1_test	best_param	fold_2_train	fold_2_test	best_param	fold_3_train	fold_3_test	best_param	fold_4_train	fold_4_test	best_param	fold_5_train	fold_5_test	outer_test
330	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6538888888888889	0.6622710622710624	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5538263588263588	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6799855699855699	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5852465617171501	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.676404358169064	0.5621212121212121	0.2222222222222222
340	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6675071225071225	0.5670329670329671	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5620507596978185	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.748148714031067	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5762407137639336	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7127985739750445	0.5621212121212121	0.24999999999999997
350	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6538888888888889	0.5670329670329671	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5620507596978185	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.738148714031067	0.4646464646464646	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5603473478705677	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7009794018617549	0.5621212121212121	0.2745098039215686
360	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6446031746031746	0.5670329670329671	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5620507596978185	0.7180124223602485	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.738148714031067	0.4646464646464646	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5693531958237841	0.6753246753246752	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6471652095181507	0.5937888198757765	0.2745098039215686
370	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6033027011974381	0.6524966261808367	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5950727829675198	0.6757575757575758	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7268788727612258	0.4646464646464646	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5693531958237841	0.7463924963924963	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6471652095181507	0.5937888198757765	0.2745098039215686
380	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6169209348156717	0.5670329670329671	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5675094450326649	0.6757575757575758	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.7134071592895121	0.4646464646464646	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5590560855266739	0.7463924963924963	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6525573663808959	0.5621212121212121	0.2745098039215686
390	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5926881305828674	0.5714285714285715	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5720708485414369	0.791919191919192	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6780615680615681	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5590560855266739	0.8053872053872054	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6525573663808959	0.5621212121212121	0.2745098039215686
400	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5926881305828674	0.5714285714285715	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5590742155448039	0.6757575757575758	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6653631553631554	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5638394113626312	0.8053872053872054	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6411287949523243	0.5621212121212121	0.24999999999999997
410	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6139143988679593	0.5714285714285715	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5590742155448039	0.6757575757575758	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.630971620971621	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5543156018388217	0.8053872053872054	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6520018108253403	0.5312169312169313	0.2745098039215686
420	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6139143988679593	0.5714285714285715	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5510287751464222	0.8000000000000002	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.630971620971621	0.47430830039525684	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.5405264280496479	0.8037037037037038	{'C': 0.1, 'gamma': 0.0001, 'kernel': 'linear'}	0.6552075375604787	0.5312169312169313	0.2745098039215686
